ID	PID	No	Due	Profit	Cost	Cycles	Produced	
13	11	11	4	758 	26950	66		4			
15	3	7	4	980 	17150	42		4			
24	4	12	4	451 	31800	60		4			
25	7	17	4	611 	51850	119		4			
27	9	2	4	700 	4500	10		4			
43	2	15	4	910 	33750	75		4			
46	4	10	4	494 	26500	50		4			
49	2	16	4	385 	36000	80		4			
55	13	19	4	517 	54150	114		4			
71	15	18	4	658 	54900	126		4			
72	13	9	4	1462 	25650	54		4			
77	0	19	4	1188 	38950	76		4			
85	3	7	4	684 	17150	42		4			
89	10	19	4	1067 	42750	95		4			
95	15	8	4	1222 	24400	56		4			
101	14	15	4	630 	42750	90		4			
106	10	4	4	1277 	9000	20		4			
112	8	13	4	858 	26650	52		4			
115	7	9	4	1222 	27450	63		4			
116	14	12	4	787 	34200	72		4			
118	12	3	4	1440 	7950	15		4			
127	14	16	4	517 	45600	96		4			
145	12	5	4	1397 	13250	25		4			
147	1	11	4	385 	24750	55		4			
148	2	2	4	332 	4500	10		4			
155	14	1	4	450 	2850	6		4			
161	4	5	4	1462 	13250	25		4			
176	1	6	4	437 	13500	30		4			
178	15	18	4	1081 	54900	126		4			
182	5	10	4	1035 	28500	60		4			
184	2	4	4	420 	9000	20		4			
189	5	4	4	1485 	11400	24		4			
4	7	1	3	846 	3050	7		3			
5	8	2	3	511 	4100	8		3			
6	11	3	3	795 	7350	18		3			
9	12	8	3	1440 	21200	40		3			
17	14	1	3	1237 	2850	6		3			
34	5	19	3	832 	54150	114		3			
36	13	16	3	540 	45600	96		3			
45	7	17	3	1645 	51850	119		3			
58	10	19	3	962 	42750	95		3			
61	8	11	3	891 	22550	44		3			
62	7	8	3	869 	24400	56		3			
64	7	17	3	1480 	51850	119		3			
73	2	5	3	437 	11250	25		3			
75	3	4	3	1332 	9800	24		3			
78	5	11	3	900 	31350	66		3			
87	1	3	3	1277 	6750	15		3			
90	15	1	3	1128 	3050	7		3			
91	10	8	3	630 	18000	40		3			
92	4	17	3	1311 	45050	85		3			
93	0	18	3	808 	36900	72		3			
98	9	3	3	875 	6750	15		3			
100	1	6	3	1120 	13500	30		3			
102	10	8	3	980 	18000	40		3			
105	9	4	3	525 	9000	20		3			
108	7	8	3	1057 	24400	56		3			
121	15	18	3	1574 	54900	126		3			
123	6	2	3	1102 	5700	12		3			
126	2	8	3	1207 	18000	40		3			
152	12	1	3	1010 	2650	5		3			
153	1	14	3	367 	31500	70		3			
154	0	13	3	412 	26650	52		3			
160	6	14	3	720 	39900	84		3			
172	5	18	3	562 	51300	108		3			
173	10	8	3	892 	18000	40		3			
180	3	2	3	370 	4900	12		3			
183	8	18	3	495 	36900	72		3			
1	7	5	2	1645 	15250	35		2			
2	15	12	2	1527 	36600	84		2			
8	8	4	2	775 	8200	16		2			
23	7	7	2	1363 	21350	49		2			
29	13	9	2	472 	25650	54		2			
30	13	3	2	1372 	8550	18		2			
31	7	4	2	1598 	12200	28		2			
37	13	9	2	630 	25650	54		2			
39	11	2	2	721 	4900	12		2			
44	13	10	2	900 	28500	60		2			
51	11	14	2	943 	34300	84		2			
60	7	18	2	1668 	54900	126		2			
65	15	10	2	1410 	30500	70		2			
70	8	8	2	693 	16400	32		2			
81	3	7	2	703 	17150	42		2			
83	10	9	2	962 	20250	45		2			
94	14	1	2	1665 	2850	6		2			
120	2	3	2	402 	6750	15		2			
131	4	19	2	494 	50350	95		2			
135	0	20	2	973 	41000	80		2			
136	5	11	2	1327 	31350	66		2			
140	8	4	2	396 	8200	16		2			
141	10	19	2	1155 	42750	95		2			
150	2	16	2	1015 	36000	80		2			
164	9	3	2	910 	6750	15		2			
165	3	16	2	666 	39200	96		2			
169	13	3	2	1125 	8550	18		2			
170	9	5	2	402 	11250	25		2			
171	2	4	2	927 	9000	20		2			
175	8	6	2	726 	12300	24		2			
177	3	12	2	1258 	29400	72		2			
179	7	9	2	517 	27450	63		2			
181	2	11	2	577 	24750	55		2			
185	0	15	2	594 	30750	60		2			
186	13	10	2	1282 	28500	60		2			
187	4	2	2	1526 	5300	10		2			
0	9	16	1	717 	36000	80		1			
11	15	7	1	963 	21350	49		1			
18	12	8	1	1053 	21200	40		1			
19	8	20	1	594 	41000	80		1			
21	15	11	1	587 	33550	77		1			
28	7	12	1	1739 	36600	84		1			
32	1	4	1	367 	9000	20		1			
33	13	15	1	810 	42750	90		1			
38	3	13	1	481 	31850	78		1			
41	8	4	1	610 	8200	16		1			
53	3	2	1	869 	4900	12		1			
54	8	19	1	924 	38950	76		1			
57	2	6	1	1137 	13500	30		1			
59	11	2	1	962 	4900	12		1			
67	11	7	1	462 	17150	42		1			
68	1	8	1	875 	18000	40		1			
69	15	14	1	1151 	42700	98		1			
74	15	13	1	352 	39650	91		1			
79	14	18	1	810 	51300	108		1			
84	7	2	1	1151 	6100	14		1			
88	6	10	1	1170 	28500	60		1			
96	10	19	1	997 	42750	95		1			
103	1	14	1	1242 	31500	70		1			
107	0	10	1	610 	20500	40		1			
113	1	8	1	612 	18000	40		1			
117	1	5	1	700 	11250	25		1			
119	1	8	1	717 	18000	40		1			
122	1	5	1	875 	11250	25		1			
125	4	6	1	1376 	15900	30		1			
134	10	20	1	665 	45000	100		1			
142	12	8	1	1290 	21200	40		1			
146	14	7	1	1215 	19950	42		1			
149	11	15	1	1184 	36750	90		1			
158	2	7	1	770 	15750	35		1			
159	11	4	1	518 	9800	24		1			
162	1	7	1	1120 	15750	35		1			
166	6	14	1	1665 	39900	84		0			
168	5	17	1	1507 	48450	102		0			
174	4	8	1	1118 	21200	40		1			
188	9	12	1	945 	27000	60		0			
3	6	18	0	787 	51300	108		0			
7	3	11	0	999 	26950	66		0			
10	14	15	0	1147 	42750	90		0			
12	4	17	0	430 	45050	85		0			
14	1	7	0	682 	15750	35		0			
16	4	9	0	1010 	23850	45		0			
20	1	2	0	805 	4500	10		0			
22	10	13	0	700 	29250	65		0			
26	1	18	0	822 	40500	90		0			
35	10	4	0	315 	9000	20		0			
40	4	18	0	344 	47700	90		0			
42	0	7	0	313 	14350	28		0			
47	10	16	0	595 	36000	80		0			
48	3	17	0	1258 	41650	102		0			
50	9	7	0	857 	15750	35		0			
52	14	13	0	1057 	37050	78		0			
56	7	6	0	893 	18300	42		0			
63	12	6	0	1397 	15900	30		0			
66	9	18	0	1207 	40500	90		0			
76	4	8	0	473 	21200	40		0			
80	15	15	0	1363 	45750	105		0			
82	3	16	0	906 	39200	96		0			
86	4	3	0	1225 	7950	15		0			
97	14	14	0	1440 	39900	84		0			
99	9	2	0	805 	4500	10		0			
104	3	13	0	518 	31850	78		0			
109	6	10	0	675 	28500	60		0			
110	2	13	0	1207 	29250	65		0			
